iter	RMSE
0	0.156422009
1	0.1448571227
2	0.1396302393
3	0.1338478421
4	0.1319020214
5	0.1283062186
6	0.1260272384
7	0.1247683991
8	0.1240698284
9	0.1227539777
10	0.1216606162
11	0.1215526816
12	0.1212430291
13	0.1198540851
14	0.119635019
15	0.1192614698
16	0.1188112271
17	0.118642326
18	0.1183567379
19	0.1181992014
20	0.1177184044
21	0.1173891828
22	0.1167190819
23	0.1166931822
24	0.1166537595
25	0.1166290167
26	0.1161902692
27	0.1161655335
28	0.115125174
29	0.114892665
30	0.114852905
31	0.114698799
32	0.1145000972
33	0.1142669712
34	0.1142011182
35	0.1141867007
36	0.1141650052
37	0.1138972863
38	0.1135199223
39	0.1135035581
40	0.1133862209
41	0.1130913806
42	0.1130256574
43	0.1127529225
44	0.1127372093
45	0.1127351152
46	0.1124264175
47	0.1123253185
48	0.1123176217
49	0.1113830616
