iter	Passed	Remaining
0	24	1221
1	39	956
2	60	951
3	86	994
4	112	1008
5	127	932
6	147	908
7	166	873
8	190	868
9	209	838
10	230	815
11	258	817
12	278	791
13	297	763
14	323	754
15	347	737
16	375	727
17	393	700
18	430	702
19	451	677
20	472	652
21	502	639
22	526	617
23	545	591
24	572	572
25	591	546
26	614	523
27	634	498
28	655	474
29	675	450
30	695	426
31	720	405
32	739	381
33	760	357
34	790	338
35	813	316
36	834	293
37	883	279
38	914	258
39	941	235
40	967	212
41	988	188
42	1006	163
43	1024	139
44	1042	115
45	1061	92
46	1079	68
47	1098	45
48	1126	22
49	1147	0
